 Commenter , Information Requested , Type of Information Needed 
 Not specified , Vaccine schedule that addresses waning efficacy and emerging new SARS-CoV-2 strains , Vaccination schedule/protocol 
 Not specified , FDA decisions to align with the latest science on COVID vaccines , Scientific research/guidelines 
 Not specified , Updates to all vaccine types to match emerging variants , Vaccine development/manufacturing 
 Not specified ," Access to vaccine options beyond injections (e.g., liquids, pills, nasal sprays) ", Vaccine development/manufacturing 
 Not specified , Recommendations that anticipate the next dominant strain in the next six months , Predictive modeling/scenario planning 
 Not specified ," Equitable and affordable access to updated vaccines, addressing financial and demographic constraints ", Access/affordability strategy 
 Not specified , FDA accountability for decisions based on long-term public welfare outcomes , Transparency/accountability 
 Not specified , Consideration of programs like the CDC bridge program for no-cost access to vaccines , Access/affordability strategy 
 --- , --- , --- 
 Susan Prager , 1. Rationale for approving COVID-19 vaccines given adverse events and short efficacy window , Justification/Explanation 
,,
,,
,,
 --- , --- , --- 
 Not specified , Universal access to updated COVID vaccines for all ages , Policy change 
 Not specified , Regular vaccination every six months , Public health guideline 
 Not specified , Vaccines to be fully covered by public funds or insurance , Financial support mechanism 
 Not specified , Updates to all vaccine types to match emerging variants , Scientific/medical guideline 
 Not specified , Ensuring access to all vaccine options made by all manufacturers , Accessibility/provision of vaccines 
 Not specified , Recommendations that anticipate the next dominant strain in the next six months , Predictive modeling/strategic planning 
 Not specified , Addressing the needs of those with financial constraints , Social/financial support mechanism 
 Not specified , Advocating for programs like the CDC bridge program , Programmatic support 
 Not specified , Four-week public comment period before committee meetings , Procedural/administrative change 
 --- , --- , --- 
 eHealth Exchange , Guidance on leveraging national health data sharing networks to obtain high-quality RWD for augmenting pre- and post-market studies ," Regulatory guidance, Technical standards "
 eHealth Exchange , Feedback on the challenges of submitting clinical study data collected from RWD sources to FDA ," Industry experience, Technical challenges "
 eHealth Exchange , Opportunities and challenges for the pharmaceutical industry in reaching a future state of clinical study data submissions collected from RWD sources using HL7 FHIR ," Industry insights, Technical considerations "
 eHealth Exchange , Input on the use of FHIR-based approach for clinical study data submissions from RWD sources to FDA ," Technical expertise, Industry feedback "
 eHealth Exchange ," Comments on the importance of leveraging non-profit national networks, such as eHealth Exchange, to benefit from foundational components for national-scale trusted RWD exchange "," Industry perspective, Technical feedback "
 eHealth Exchange ," Recommendations for addressing challenges such as FHIR security model maturity, point-to-point FHIR deployment, and standards for FHIR transaction metadata and routing techniques "," Technical recommendations, Industry guidance "
 --- , --- , --- 
 Charlotte Lozier Institute ," Restoration of previous FDA safeguards, including in-person prescribing, to minimize risks associated with mifepristone abortions ", Regulatory/Policy Change 
 Charlotte Lozier Institute ," Improved data collection and reporting on mifepristone safety and complications, including adverse events, mental health outcomes, and subsequent pregnancy complications ", Quantitative Data/Research 
 Charlotte Lozier Institute , Review of real-world outcomes to understand the effects of mifepristone on women and girls , Qualitative Data/Research 
 Charlotte Lozier Institute ," Consideration of research findings on abortion coercion, mental health, and subsequent pregnancy complications ", Qualitative Data/Research 
 Charlotte Lozier Institute , FDA evaluation of the impact of removing in-person prescribing requirements on data collection and patient safety , Regulatory/Policy Evaluation 
 --- , --- , --- 
" The Sequoia Project (Mariann Yeager, CEO) "," Role of TEFCA in using RWD for clinical research if ""Research"" is added as an ""Exchange Purpose"" ", Feedback on potential applications and challenges of using TEFCA for clinical research 
" The Sequoia Project (Mariann Yeager, CEO) ", Ways TEFCA can support more efficient collection and exchange of RWD for clinical research purposes , Suggestions for improvements to TEFCA's current framework to facilitate clinical research 
" The Sequoia Project (Mariann Yeager, CEO) "," Challenges that may exist with using TEFCA for clinical research, including data availability and usability ", Identification of potential obstacles and areas for further development to optimize TEFCA for clinical research 
" The Sequoia Project (Mariann Yeager, CEO) "," Collaboration with FDA to explore adding ""Research"" as an ""Exchange Purpose"" to TEFCA ", Partnership opportunity to develop use cases and enhance TEFCA's framework for clinical research 
 --- , --- , --- 
 Anonymous (immune-compromised individual) , Ensure a four-week public comment period before committee meetings , Procedural 
 Anonymous (immune-compromised individual) ," Universal access to updated COVID vaccines for all ages, fully covered by public funds/insurance, at least every six months ", Policy/Regulatory 
 Anonymous (immune-compromised individual) , Vaccine schedule that addresses waning efficacy and emerging new strains , Scientific/Technical 
 Anonymous (immune-compromised individual) ," Ensure access to all vaccine options from all manufacturers, including non-injection formats (liquids, pills, nasal sprays) ", Product/Manufacturer 
 Anonymous (immune-compromised individual) , Recommendations that anticipate the next dominant strain in the next six months , Scientific/Technical 
